[12:21] 各位线上的朋友大家午安
[15:07] 以及全球资深合伙人徐瑞婷JT
[15:09] 那待会他们会来跟大家详细的去分享
[15:14] 他们所看到的现在AI的这些超级使用者
[15:17] 以及在企业部分他们怎么样来导入碰到的问题
[15:21] 怎么去解决以及做好什么样的一些规划布局
[15:24] 好那在我们活动开始之前也还是要提醒大家
[15:28] 就是欢迎大家来订阅随时代的YT的频道
[15:32] 那这里面呢我们会持续有AI相关的这些新闻跟专题
[15:37] 在这边呈现
[15:38] 那也欢迎大家订阅下载收看
[15:42] 然后提供给我们一些建议问题或者反馈
[15:45] 那你们的这个关注跟支持
[15:48] 会是我们持续能够把内容往下做好的一个非常重要的一个动力
[15:52] 好那特别在今天的这个直播论坛里面
[15:55] 我们也会开放有线上可以提问的这个环节
[15:58] 那欢迎大家订阅之后呢
[16:00] 也透过这个就是频道的本身可以来在下方留言提出
[16:05] 你想要待会想要请教的这个问题
[16:07] 好那接下来就进入到我这边有一个开场的部分
[16:11] 那当然重点我们就交由等一下两位非常资深的专家来跟大家说明
[16:16] 我这边就负责讲故事
[16:18] 那我今天这个讲题呢
[16:19] 叫The Next Bicycle for Our Minds
[16:22] 就是下一台我们新制的脚踏车
[16:24] 那这个题目跟人家其实到底有什么关系呢
[16:27] 那特别是这个副标叫贾伯斯的第三台脚踏车
[16:29] 当然这个是他还来不及骑上去的脚踏车
[16:32] 那为什么会订这个题目呢
[16:34] 其实就来自于就是
[16:36] 贾伯斯其实在过去多次在接受访问的时候都提到
[16:40] 他在年轻的时候其实看过一篇文章
[16:44] 那我特别去把这篇文章找出来
[16:47] 他是在1973年的Scientific American
[16:50] 就是美国人的这本这个杂志
[16:53] 那这一期的封面故事叫做Bicycle and Technology
[16:57] 就是自行车跟科技
[16:59] 那里面呢其实当然谈了就是说
[17:02] 整个自行车的这个眼镜
[17:04] 以及就是说那要想到说那是1973年
[17:08] 所以那个时候其实自行车的这个变化
[17:11] 或者是整个的这个进展
[17:13] 还是很得到大家的关注
[17:15] 那其中有一张图
[17:18] 就是我们现在在画面上看到右边这张图
[17:20] 那他把各种动物包含人类
[17:23] 其实做了一个对比
[17:25] 那这个对比就是说运动能力
[17:27] 那当然这个运动能力换算成学术的用法
[17:30] 就是所谓的能量使用的效率
[17:32] 那在这个里面呢
[17:34] 这张表里面呢
[17:35] 如果人类是赤手空拳的情况之下
[17:37] 去跟各种动物类比
[17:39] 比如说鸟啦鱼啦
[17:40] 狮子啦豹啦去相比
[17:42] 人类的运动能力
[17:44] 就是这个所谓的能源使用效率
[17:45] 是净培莫作的
[17:47] 但是呢如果加上了自行车之后
[17:50] 就人类骑自行车
[17:51] 就是你同样这个使用这个能源
[17:53] 使用你的两只脚
[17:54] 如果是走路跑步
[17:56] 跟你有了自行车之后
[17:57] 这个差别是非常巨大的
[17:58] 有了这个自行车之后呢
[18:00] 人类的排名马上就到前面去了
[18:02] 就排在前三名
[18:04] 所以从一个净培莫作赤手空拳
[18:06] 到了有自行车之后呢
[18:07] 到这个排名名列前嘛
[18:10] 这个中间差距非常大
[18:11] 那当然这个给贾伯斯
[18:13] 一个很大的启发
[18:14] 就是说人类有了工具之后
[18:17] 你的能力可以大幅被释放
[18:19] 那这个当然不只是体力上的释放
[18:21] 因为体力上释放之后
[18:22] 包含就是说你接下来可以
[18:23] 从事更多这个工作
[18:25] 会回到就是说你的心智
[18:26] 也可以带来更大的这个启发
[18:28] 这件事情对贾伯斯当年看完这篇文章之后
[18:31] 留下非常深刻的印象
[18:33] 好那所以就是
[18:35] 那他当年1976年
[18:37] 因为今年也正好是苹果电脑成立50周年
[18:41] 那当然现在电脑已经去掉
[18:42] 它叫苹果
[18:43] 当年发家的时候
[18:44] 1976年4月1号成立的这家公司
[18:46] 当时是做这个苹果2号
[18:49] 那以及1984年推出这个麦进塔的电脑
[18:52] 那对贾伯斯来讲
[18:53] 就是说电脑这个工具
[18:55] 就如同是脚踏车
[18:57] 它是协助人类去释放你的生产力
[19:01] 让你的心智可以再到达下一个阶段
[19:03] 所以那贾伯斯当年有一句话叫
[19:06] PC is a bicycle for our minds
[19:08] 就在那个年代里头的个人电脑
[19:11] 就相当于那个时代的自行车
[19:13] 让人类的能力得到一个
[19:14] 大幅的一个提升
[19:16] 好那我们来看就是说
[19:18] 发明新的工具
[19:20] 让这个生产力能够持续提升
[19:23] 在贾伯斯的这个生涯里面
[19:25] 其实它做了几件事
[19:26] 那当我们看到这个图的最左边这边
[19:29] 麦进塔电脑1984年
[19:31] 以及iPhone2007年
[19:34] 那这个两个工具
[19:35] 其实都让我们的生产力
[19:37] 得到很大幅的这个释放
[19:39] 那接下来呢
[19:40] 那接下来我这边列了两个
[19:42] 有可能会是自驾车吗
[19:44] 有可能会是机器人吗
[19:46] 甚至有可能会是无人机吗
[19:48] 那特别我们在AI时代里面
[19:49] 自驾车 无人机 机器人
[19:51] 这些都是实体的工具
[19:53] 那当然除了实体工具之外
[19:55] 也有很多现在的包含像软体
[19:57] Application 系统等等
[20:00] 这是在电脑或者说各种装置里面的
[20:03] 它其实也是新的时代的工具
[20:05] 也是新时代脚踏车
[20:06] 那当然我们在看就是
[20:08] 这个工具的演进的过程
[20:10] 我们人类在操作使用的过程里面
[20:12] 让我们的这个能力
[20:14] 可以不断地增大
[20:16] 被负能可以去做更多这个事情
[20:19] 好那接下来我帮大家整理
[20:21] 就是我们过去这三十多年来
[20:23] 就是在多数可能
[20:24] 我预期可能我们今天
[20:26] 在收看这个直播的工作者
[20:27] 那当然有些是更年轻的
[20:29] 那我大概设定
[20:31] 可能在我这个年龄
[20:32] 可能或者稍微比我年轻一点的
[20:33] 都经历过过去这三十多年来
[20:36] 整个Internet的发展
[20:37] 那当然Internet是承载很多
[20:39] 现在这些新的资讯工具的一个平台
[20:41] 那这Internet的这个三波的发展
[20:44] 在这三十年当中
[20:46] 那第一阶段我称为它叫PC Internet
[20:48] 就当时我们其实上网
[20:49] 主要是用桌上型或者笔记电脑
[20:52] 那应该说电机这个PC Internet的
[20:57] 这个公司
[20:59] 是Netscape这家公司
[21:01] 做这个browser浏览器的
[21:03] 那因为有这个browser
[21:04] 让更多人用电脑这个上网
[21:05] 虽然就是当时还在播接的年代
[21:08] 比较慢了
[21:09] 但至少让上网这件事情
[21:10] 除了这些学术军方跟专业机构之外
[21:13] 可以进入到普罗大众的日常的工作跟生活当中
[21:16] 那以及说在这个PC Internet里面的赢家呢
[21:21] 有三家
[21:21] 一家Cisco做路由器
[21:23] 它其实在这个网路设备里面
[21:25] 让这个所谓的资讯
[21:27] 找到方向
[21:28] 并且可以传递到它要到达的目的地
[21:30] 那以及像雅虎这家公司做入口网站
[21:33] 它当时所定义的新闻
[21:35] 包含这油腔以及搜寻
[21:37] 也后来成为一个
[21:38] 时代的一个标配
[21:40] 那以及像亚马逊这家公司做电商
[21:42] 那它也让这个所谓过去
[21:44] 实体的这个零售为主的这样一个
[21:47] 开始转向线上去
[21:48] 好那
[21:50] 从
[21:51] 第二阶段我们称为叫所谓的Mobile Internet
[21:54] 就是所谓的移动互联网
[21:55] 那移动互联网的工具
[21:57] 所谓就是透过手机
[21:58] 那这也是2007年的Apple的iPhone
[22:00] 上市之后所带来的一个风潮
[22:03] 那当然不是只有iPhone
[22:05] 后来我们也有Android Phone
[22:06] 也有其他的这个不同形式的这个手机
[22:08] 那帮连接的也不只是
[22:09] Smartphone
[22:10] 也连接到像平板
[22:12] 像这个手表等穿戴式装置
[22:14] 那在这一波的这个
[22:16] 电机的公司当然就是Apple
[22:18] 那以及在这个阶段的影家
[22:20] 我们看到有几家
[22:21] 一个当然就是苹果本身
[22:23] 因为藉由贩售大量的iPhone
[22:25] 跟后来的这个iPad
[22:26] 以及它所推出的像Apple Store
[22:28] 这些服务
[22:29] 那让它在这个Mobile Internet
[22:31] 这个时代里面
[22:32] 从2000亿的市值
[22:35] 在2011年的时候
[22:36] 一路成长到
[22:37] 超过这个三兆的这个市值
[22:40] 那以及像Google这家公司
[22:42] 透过原先的这个search
[22:43] 经过Mobile Internet的这个
[22:45] 更多人的使用放大之外
[22:48] 就是包含它的Android Phone
[22:49] 也帮Google争取到一个
[22:51] 可以在一个重要的工具里面的
[22:53] 一个作业系统
[22:54] 那以及我们看到像亚马逊
[22:56] 在PC Internet的时代
[22:57] 进到Mobile Internet的时代
[22:59] 就透过这个网络下单
[23:00] 购买这个量
[23:01] 也是大幅的增加
[23:02] 像Facebook这家公司的这个
[23:04] 做社交平台的这个部分
[23:06] 也是在Mobile Internet这个年代
[23:08] 得到一个非常大的一个成长的一个空间
[23:10] 那第三阶段就是
[23:12] 我们现在正在经历的这个是
[23:14] 我称为它叫AI Internet
[23:15] 现在这个词其实还没有一个统称
[23:18] 但是我先暂且称它叫AI Internet
[23:21] 那这个AI Internet它所连接的工具就会更多了
[23:24] 那包含是像无人机自驾车机器人等等
[23:28] 那以及各种是说在这些实体装置里面
[23:31] 所看不到的这些软体系统应用程式等等
[23:35] 那包含现在的热门的AI代理等等
[23:37] 这些都是热门的工具
[23:39] 那当然这一波的这个AI Internet造实的公司
[23:42] 要从2022年11月30日
[23:44] 推出ChairGPT的OpenAI这家公司开始
[23:46] 那目前看到就是说那赢家会是谁
[23:49] 当然现在还是一个非常早期的阶段
[23:52] 但目前看到确定的
[23:53] 第一个赢家是NVIDIA
[23:55] 因为它所提供这个GPU的这个晶片
[23:58] 那是现在是做AI
[24:00] 一个是在资料的这个训练跟推移上面
[24:03] 也是提供算力上面非常重要的一个
[24:05] 关键都绕不开它
[24:07] 那接下来可能赢家呢
[24:09] 我们看到说Google也可能会是其中一个赢家
[24:11] 因为Google现在把很多的这个产品
[24:13] 从它的Gemini
[24:14] 创串到各个这个不同相关的这个领域
[24:17] 以及我们现在看到Tesla
[24:18] 也可能会是其中一个赢家
[24:20] 因为包含从这个电动车到自驾车
[24:22] 自驾系统
[24:23] 那包含就是在这个
[24:25] 我们看到的现在机器的Optimus的部分
[24:28] 还有整个它的周边相关这些企业
[24:32] 我们现在看到包含像XAI
[24:34] 那将来有可能就是Tesla
[24:36] 也会是在这个AI Internet里面的一个可能的赢家
[24:40] 好那为了要找到就是说
[24:44] 到底什么样的工具在这个浪潮里面
[24:48] 现在是具备好的一个位置
[24:51] 跟接下来有竞争到成为AI时代的脚踏车
[24:55] 这样的一个重要性
[24:58] 那我们在4月份
[24:59] 我们制作了一个全球百搭AI
[25:01] 跟也特别在这个榜单之外
[25:04] 也精选了台湾的AI20家公司
[25:06] 那全球百搭这里面
[25:07] 我们从全世界的770家公司
[25:10] 作为初始的名单
[25:11] 那经过一路的筛选
[25:13] 那最终得到这100家公司
[25:15] 那这是我们连续第二年制作的这个名单
[25:18] 我不成为榜单
[25:19] 因为我们并没有进行排名
[25:21] 我们做分类
[25:21] 但是并没有排名
[25:22] 那非常建议大家就是说
[25:24] 能够上网
[25:25] 或者说找到购买这本杂志
[25:28] 来看更详细的部分
[25:29] 因为我们今天时间比较有限
[25:30] 那我大概把这个
[25:31] 我们的几个结论
[25:33] 在这边跟大家做一个说明
[25:35] 那首先是说
[25:36] 我们在今年这个100家公司
[25:38] 我们会整理出有四个分类
[25:40] 一个部分是基础设施
[25:41] 那包含说语言模型
[25:42] 包含说晶片
[25:43] 等等的这个
[25:44] 成为这个在所谓的AI的
[25:46] 这个基础架构的部分
[25:47] 基础设施的部分
[25:48] 那第二个是个人赋能的工具
[25:51] 那个人赋能工具
[25:52] 像一般大家常用
[25:53] 像Canva Notion
[25:54] 这些其实也都算在这里面
[25:55] 以及有一部分
[25:57] 是在企业应用的这个环节上面
[25:59] 那像当然现在很多
[26:00] 像这个Anthropic Cloud
[26:03] 那像Gemini
[26:05] 像这个等等的这些语言模型
[26:08] 其实现在也
[26:08] 都有很多的应用工具
[26:10] 其实是算在这个里头
[26:11] 那另外还有一块
[26:13] 我们称为叫垂直产业领域
[26:14] 比如说现在的这个自驾车
[26:16] 无人机跟机器人
[26:17] 它本身应用的AI
[26:19] 那它现在自己本身发展的
[26:21] 一个垂直的一个领域
[26:22] 那这个垂直领域里面
[26:23] 当然有一块很特别的是说
[26:26] 我们也列了一个
[26:26] 所谓的国防AI的部分
[26:28] 那国防AI其实也是在现在
[26:30] 整个AI产业里面发展
[26:32] 非常快速的
[26:33] 那特别像我们去年
[26:35] 有三家公司
[26:36] 包含像这个
[26:37] Polentier
[26:38] Anduria
[26:39] 跟这个Shield AI
[26:40] 那当然今年这三家公司
[26:41] 也还在这个名单上面
[26:43] 因为这
[26:43] 这三家公司相较于去年
[26:45] 都有非常大幅的这个成长
[26:47] 那当然国防AI
[26:48] 也会是在这个
[26:49] 垂直产业
[26:50] AI垂直产业领域里面
[26:51] 接下来非常值得关注
[26:53] 应该不是接下来
[26:54] 目前其实已经是
[26:55] 非常值得关注的这个领域了
[26:57] 那当然就是说
[26:58] 这个名单跟去年相比
[27:00] 就是说从基础的这个模型
[27:01] 到主权AI的落地跟应用
[27:03] 在我们今年的这个
[27:05] 整个百大的这个
[27:07] 全球的AI公司当中呢
[27:09] 跟去年一个很不一样
[27:10] 是说去年我们名单
[27:12] 大概有70家是美国公司
[27:14] 美国以外是构成另外30家
[27:16] 那今年美国的占比
[27:17] 大概就是50出头
[27:19] 那有更多的是来自于
[27:21] 世界其他地区的国家
[27:23] 那这里面有
[27:23] 像G42来自阿联酋的
[27:26] 这个部分
[27:26] 以及有一些就是
[27:28] 更多是
[27:29] 有一些当地的落地应用
[27:31] 也就是说
[27:32] AI的发展
[27:33] 现在也慢慢的
[27:35] 从一家独秀
[27:36] 到了开始要
[27:38] 百花齐放的这个前夕
[27:40] 那当然在技术的层面来看
[27:43] 美国还是
[27:43] 遥遥领先其他国家
[27:45] 但在很多应用的
[27:47] 这个场域里面
[27:48] 其实牵涉到这个
[27:49] 使用行为
[27:50] 跟文化地域的这个差别
[27:52] 我们现在看到各地有更多的
[27:54] 这个
[27:54] 比如像这个日本有一家
[27:56] 做漫画的这个AI的公司
[27:57] 叫Mantra
[27:58] 表现非常好
[27:59] 去年跟今年也都还在榜上
[28:00] 好
[28:02] 那
[28:02] 以及我们看到
[28:04] 边缘计算
[28:04] 实体AI跟代理
[28:06] 也正在起飞
[28:07] 那这个是我们大概
[28:08] 今年的这个
[28:08] 百搭AI的
[28:09] 一个简单的一个结论
[28:11] 好
[28:12] 那以及就是说
[28:13] 为了要争取
[28:13] 谁在这个工具的制定
[28:16] 抢下一个世代
[28:17] 这个脚踏车里面
[28:18] 占有这个发言权
[28:19] 我们现在看到很多的巨头
[28:21] 也在竭尽全力的在
[28:23] 投资
[28:24] 在这个基础测试上面
[28:26] 所以我们看到有一个
[28:27] 6000多亿美金的大撒币
[28:29] 这是在今年
[28:30] 包含巨头
[28:31] 为主
[28:32] 以及结合其他的这个
[28:34] 投资在这个AI产业里面
[28:36] 现在
[28:36] 这里面我们现在看到像
[28:38] 微软
[28:38] 亚马逊
[28:39] Google
[28:40] Meta
[28:40] 这些称为所谓
[28:41] Hyper Scalers
[28:41] 的这些大型的云端厂商
[28:43] 那都在AI资料中心里面
[28:46] 现在在创纪录的
[28:48] 扩大他们的投资
[28:49] 那整体加起来
[28:51] 今年超过6000亿美金
[28:52] 将近7000亿美金
[28:53] 这也是创了史上的纪录
[28:54] 那比较矛盾的一点
[28:57] 但实际上也
[28:58] 也后面看起来合理
[29:00] 是说
[29:00] 在大幅增加投资的过程当中
[29:03] 也在大幅的裁员
[29:04] 那像去年
[29:05] 亚马逊
[29:05] 从Q4到今年Q1
[29:07] 累计裁了
[29:08] 大概33000名员工
[29:10] 那包含就是说
[29:12] 像这个Oracle
[29:13] 在最近有一波裁员
[29:14] 27000人
[29:15] 也将近3万人
[29:15] 所以这两家公司
[29:16] 在大举投资同时
[29:18] 也在大举
[29:19] 在删减人力
[29:20] 那当然
[29:21] 这里面其实
[29:22] 我们所看到
[29:23] 就是说用算力
[29:24] 去换取人力
[29:26] 这件事情
[29:27] 其实在很多的
[29:28] 走在前头的AI公司
[29:29] 正在发生
[29:30] 当然这个背后的原因
[29:31] 我们等一下会再有
[29:32] 详细的解释
[29:32] 以及呢
[29:34] 如果说大家
[29:34] 这么积极在投资
[29:35] 对于那些
[29:37] 想要参与
[29:38] 竟然分一杯羹的
[29:39] 公司当然也
[29:40] 加快了脚步
[29:41] 所以我们也看到
[29:42] 就是说在今年
[29:42] 有三家公司
[29:44] 会有创纪录的
[29:45] IPO的计划
[29:46] 的金额
[29:47] 那一家是SpaceX
[29:48] 预计大概就是
[29:49] 6月份到8月份之间
[29:51] 以及OpenAI
[29:52] 跟Enthrope
[29:52] 这两家
[29:52] 纯AI的公司
[29:54] 现在都规划
[29:54] 在今年要上市
[29:55] 从资本市场
[29:56] 里面得到更多的资源
[29:57] 来加快它扩张
[29:59] 跟发展的这个脚步
[30:00] 好
[30:01] 那这件事情
[30:02] 对于
[30:03] 我们一般的
[30:04] 企业的经营者的
[30:05] 提醒会是什么呢
[30:06] 那我想
[30:06] 这边大概简单
[30:07] 有三件事
[30:08] 就是现在对
[30:10] 很多企业来讲
[30:10] 在初期的评估
[30:12] 导入的阶段
[30:13] 以及可能有一些
[30:14] 已经导入到一部分
[30:15] 那现在要注意的是说
[30:17] 在整个这些专案
[30:19] 或者说要
[30:20] 这个幅度
[30:21] 要扩大的同时
[30:22] 究竟是我
[30:23] 应该要去
[30:24] 自建内部的团队
[30:25] 来做这件事情
[30:26] 还是找外部的专家
[30:27] 来协助呢
[30:28] 那当然现在要
[30:30] 在台湾要找到
[30:31] AI的专家
[30:31] 并没有那么容易
[30:33] 所以借助外部的
[30:35] 这个专业的
[30:35] 不管是顾问
[30:36] 或者说执行团队的服务
[30:37] 现在看起来
[30:39] 是要加快脚步的
[30:40] 一个非常重要的一环
[30:41] 那另外就是说
[30:43] 目前多数的
[30:44] 这个AI的服务提供
[30:45] 都还是来自云端厂商
[30:46] 但对许多企业来讲
[30:48] 它其实有很迫切的
[30:49] 在地端的这边的需求
[30:51] 那当这个要等到
[30:52] 算力跟这个成本
[30:53] 有进一步的下降之后
[30:54] 地端这边会
[30:55] 才有更好的机会
[30:57] 但是云端跟地端
[30:58] 大概不会是一个二选一
[30:59] 将来应该
[31:00] 所谓的混合的
[31:01] 这个应该会是
[31:02] 多数企业在
[31:03] 目前这个阶段
[31:03] 也要考量的
[31:04] 以及就是说
[31:06] 在AI的投资来讲
[31:07] 究竟是资本支出
[31:09] 还是一个营运支出
[31:10] 也就是所谓
[31:10] 它是一个CAPEX
[31:11] 还是OPEX
[31:12] 那当然
[31:12] 对于很多的公司来讲
[31:14] 就是说
[31:14] 如果你要自己投资
[31:15] 去新建这个Data Center
[31:17] 去买伺服器回来
[31:18] 去买GPU
[31:19] 这个其实是
[31:20] 可能没有那么大的
[31:22] 这个能力
[31:22] 跟资本去做这个事情
[31:24] 那前面既然提到说
[31:26] 有这么多的云端厂商
[31:27] 在加大力度投资
[31:28] 所以以目前来看
[31:30] 就对多数的企业
[31:31] 更划算一件事情
[31:32] 就是说
[31:33] 那我是用订阅制的方式
[31:34] 去取得这个服务
[31:35] 所以那同时来讲
[31:37] 就是说
[31:38] 如果这个
[31:39] AI的这个投入
[31:40] 是在
[31:41] 以所谓订阅
[31:42] 用成本支出的概念来讲
[31:44] 相对对企业的这个
[31:45] 整体的这个
[31:47] 资本的压力
[31:49] 相对也会更小一些
[31:51] 所以CAPEX跟OPEX
[31:52] 我们现在看到
[31:52] 就是说
[31:53] 可能更多的企业
[31:54] 目前跟接下来
[31:55] 大概都会倾向
[31:56] 就是透过订阅的方式
[31:59] 去取得这个服务
[31:59] 所以OPEX的方式
[32:01] 去处理他的这个资本
[32:03] 或者说在财务报表上
[32:05] 所面临到这个压力
[32:06] 好
[32:07] 那这边简单谈一下
[32:09] 对工作的启发
[32:10] 那第一个是说
[32:11] 我们现在看到
[32:12] 虽然很多的工作
[32:13] 都在使用这个AI工具
[32:14] 但是其实你也成为
[32:16] 这个AI提供服务
[32:17] 其中一环
[32:18] 因为很多的情况下
[32:19] 你去问这些问题
[32:20] 他会给你一些建议
[32:22] 说那你是不是
[32:22] 还问底下这些问题
[32:24] 所以你也在参与到
[32:25] 其中的这个生产问题
[32:27] 提供答案的
[32:28] 其中一部分
[32:29] 所以producer加consumer
[32:31] 变成presumer这件事情
[32:33] 其实在我们的
[32:33] AI工作的环节里面
[32:35] 对工作者是一个非常重要
[32:36] 另外就是说
[32:37] 整个有很多
[32:38] 非城市背景的
[32:39] 这些城市素人
[32:40] 现在透过使用AI工具
[32:42] 特别是说
[32:42] 有些用得很有心得之后
[32:44] 变成所谓vibe coder
[32:45] 去解决
[32:46] 他日常里面需要的
[32:47] 可能过去需要去找
[32:48] 这些IT部门来协助
[32:50] 制作表单
[32:50] 或者解决工作流程方面
[32:52] 现在是可以透过自行
[32:53] 去开发网页app
[32:55] 或者表单来解决的
[32:56] 那这个vibe coding的
[32:58] 这个风潮是越演越烈
[32:59] 所以很多将来是变成
[33:01] 自助就解决问题
[33:02] 那这个情况之下就是说
[33:04] 好那原先要去来协助
[33:05] 解决问题的工程师
[33:07] 特别是IT部门
[33:07] 那接下去做什么呢
[33:09] 那接下去
[33:10] 当我们所看到的是说
[33:12] 目前有一个叫
[33:13] 所谓FDE
[33:14] Forward Deploy Engineer
[33:15] 就是那工程师呢
[33:16] 那你就会跟这些行销
[33:19] 跟业务人员
[33:20] 第一线到客户的会议室
[33:22] 去坐下来谈
[33:23] 理解他们的痛点
[33:24] 把这些问题
[33:25] 带回来形成产品
[33:26] 而不是在过去说
[33:27] 你待在办公室荧幕前
[33:28] 等着这些业务人员
[33:30] 把问题带回来
[33:31] 所以现在必须到前线
[33:32] 所谓前线部署工程师
[33:34] 去解决这个问题
[33:35] 那当然关于FDE这个部分
[33:36] 等一下立峰老师
[33:37] 有一个更贴切的一个解释
[33:39] 我们等一下在
[33:40] 立峰老师演讲里面
[33:41] 我们再来听他详细来介绍
[33:43] 那我这边最后跟大家
[33:45] 就是介绍两个案例
[33:48] 是我们公司内部的同事
[33:49] 那第一个要介绍的是博源
[33:52] 那博源之前
[33:53] 是我们的
[33:55] 就是姐妹杂志
[33:56] 就是近人月刊的编辑
[33:58] 那编辑过去的工作处理稿件
[34:00] 下标题
[34:01] 那再来就是说
[34:02] 做网站的这个编辑之后
[34:04] 就负责这些稿件上网
[34:05] 同时要去经营
[34:06] 这个关键是SEO的这个部分
[34:08] 以及流量
[34:09] 那博源当然也非常认真
[34:12] 就是说在这些工作的过程
[34:13] 同时他也去学习了很多的AI工具
[34:16] 便使用在自己工作上面
[34:17] 产生心得之后呢
[34:19] 去年他也协助我们公司
[34:20] 有一个线上课程的一个专案
[34:22] 然后接受客户的委托
[34:23] 来帮参与去协助开发课程
[34:26] 那开发课程这个经验之后呢
[34:28] 现在博源的下一个身份
[34:30] 应该讲现在的身份
[34:32] 演变成就是一个课程的讲师了
[34:34] 所以他前一阵子
[34:35] 刚推出一门课
[34:36] 叫AI简报极速流课程
[34:39] 那卖的也非常好
[34:41] 那即将这个销售也要破百万了
[34:43] 所以对博源来讲
[34:44] 就是说他过去
[34:46] 可能我们比较常谈
[34:47] 叫所谓job description
[34:49] 就是说都会讲说
[34:50] 工作执掌内容是什么
[34:51] 因为有了这个东西
[34:52] 才能去定义KPI
[34:53] 但对博源来讲
[34:54] 他其实正在经历
[34:56] 自己的一个工作内容的转型
[34:57] 自己给自己的工作
[34:58] 去做定义job transformation
[35:00] 那我想这个其实对于
[35:02] 在AI时代里面
[35:03] 多数工作者都要面临到
[35:04] 就是说不再是用KPI来定义
[35:06] 因为那个KPI一直在变动
[35:08] 所以你的JD这个事情
[35:09] 会越来越不明显
[35:11] 因为他一直在一个
[35:12] 调整的过程当中
[35:13] 所以job transformation的弹性
[35:15] 跟能力这个事情
[35:16] 反映在博源
[35:17] 从一个过去传统的一个编辑
[35:20] 到现在成为一个课程的讲师
[35:22] 中间经历这些过程
[35:24] 其实有了AI工具的赋能
[35:25] 没有限制他的这个产出
[35:27] 反而加大了他的可能性
[35:28] 好 那我下一个例子
[35:30] 也是最后一个例子
[35:31] 跟大家要分享
[35:32] 是我们同样是
[35:33] 经理人月刊的这个
[35:35] 另外一个同事
[35:36] 那韦韦山
[35:38] 那他过去的工作
[35:39] 本来也是网站编辑
[35:41] 经营这个关键字
[35:43] 跟网站流量
[35:44] 那去年跟前年参与的
[35:46] Google的NDX的这个专案
[35:47] 就协助这个所谓媒体
[35:49] 做出位转型
[35:50] 从这边累积到经验
[35:51] 再加上他自己本身学习
[35:53] 多种AI工具
[35:54] 这当然是他自己本身的兴趣
[35:56] 这些经验累积之后呢
[35:58] 回来他现在在去年
[36:00] 参与我们内部
[36:01] 开发的一个新的产品
[36:02] 我们叫一天一AI
[36:03] 它是一个电子报
[36:05] 那每天提供大家
[36:07] 一直关于AI的
[36:08] 工具使用的这个心得
[36:10] 或者说一些Tips
[36:12] 或者是就是ABC的东西
[36:14] 那非常受欢迎
[36:15] 在半年之内
[36:17] 现在的订阅户
[36:18] 已经超过了三万多人
[36:21] 那也非常欢迎大家
