[00:12:21] 各位線上的朋友大家午安
[00:14:45] 其實是我們在整個All in AI這個專案裡面希望能夠完成的
[00:14:49] 那回到今天這個論壇的部分
[00:14:51] 我們會有三個環節
[00:14:54] 那首先會由我這邊來開場做一個簡單的介紹
[00:14:57] 那重頭戲會在我們接下來兩位講者
[00:15:00] 邀請到就是Google前臺灣董事總經理簡利峰
[00:15:03] 那以及就是BCG波士頓顧問公司的董事總經理
[00:15:07] 以及全球資深合夥人徐瑞婷JT
[00:15:09] 那待會他們會來跟大家詳細的去分享
[00:15:14] 他們所看到的現在AI的這些超級使用者
[00:15:17] 以及在企業部分他們怎麼樣來匯入碰到的問題
[00:15:21] 怎麼去解決以及做好什麼樣的一些規劃佈局
[00:15:24] 好那在我們活動開始之前也還是要提醒大家
[00:15:28] 就是歡迎大家來訂閱隨時代的YT的頻道
[00:15:32] 那這裡面呢我們會持續有AI相關的這些新聞跟專題
[00:15:37] 在這邊呈現
[00:15:38] 那也歡迎大家訂閱下載收看
[00:15:42] 然後提供給我們一些建議問題或者反饋
[00:15:45] 那你們的這個關注跟支援
[00:15:48] 會是我們持續能夠把內容往下做好的一個非常重要的一個動力
[00:15:52] 好那特別在今天的這個直播論壇裡面
[00:15:55] 我們也會開放有線上可以提問的這個環節
[00:15:58] 那歡迎大家訂閱之後呢
[00:16:00] 也透過這個就是頻道的本身可以來在下方留言提出
[00:16:05] 你想要待會想要請教的這個問題
[00:16:07] 好那接下來就進入到我這邊有一個開場的部分
[00:16:11] 那當然重點我們就交由等一下兩位非常資深的專家來跟大家說明
[00:16:16] 我這邊就負責講故事
[00:16:18] 那我今天這個講題呢
[00:16:19] 叫The Next Bicycle for Our Minds
[00:16:22] 就是下一臺我們新制的腳踏車
[00:16:24] 那這個題目跟人家其實到底有什麼關係呢
[00:16:27] 那特別是這個副標叫賈伯斯的第三臺腳踏車
[00:16:29] 當然這個是他還來不及騎上去的腳踏車
[00:16:32] 那為什麼會訂這個題目呢
[00:16:34] 其實就來自於就是
[00:16:36] 賈伯斯其實在過去多次在接受訪問的時候都提到
[00:16:40] 他在年輕的時候其實看過一篇文章
[00:16:44] 那我特別去把這篇文章找出來
[00:16:47] 他是在1973年的Scientific American
[00:16:50] 就是美國人的這本這個雜誌
[00:16:53] 那這一期的封面故事叫做Bicycle and Technology
[00:16:57] 就是腳踏車跟科技
[00:16:59] 那裡面呢其實當然談了就是說
[00:17:02] 整個腳踏車的這個眼鏡
[00:17:04] 以及就是說那要想到說那是1973年
[00:17:08] 所以那個時候其實腳踏車的這個變化
[00:17:11] 或者是整個的這個進展
[00:17:13] 還是很得到大家的關注
[00:17:15] 那其中有一張圖
[00:17:18] 就是我們現在在畫面上看到右邊這張圖
[00:17:20] 那他把各種動物包含人類
[00:17:23] 其實做了一個對比
[00:17:25] 那這個對比就是說運動能力
[00:17:27] 那當然這個運動能力換算成學術的用法
[00:17:30] 就是所謂的能量使用的效率
[00:17:32] 那在這個裡面呢
[00:17:34] 這張表裡面呢
[00:17:35] 如果人類是赤手空拳的情況之下
[00:17:37] 去跟各種動物類比
[00:17:39] 比如說鳥啦魚啦
[00:17:40] 獅子啦豹啦去相比
[00:17:42] 人類的運動能力
[00:17:44] 就是這個所謂的能源使用效率
[00:17:45] 是淨培莫作的
[00:17:47] 但是呢如果加上了腳踏車之後
[00:17:50] 就人類騎腳踏車
[00:17:51] 就是你同樣這個使用這個能源
[00:17:53] 使用你的兩隻腳
[00:17:54] 如果是走路跑步
[00:17:56] 跟你有了腳踏車之後
[00:17:57] 這個差別是非常巨大的
[00:17:58] 有了這個腳踏車之後呢
[00:18:00] 人類的排名馬上就到前面去了
[00:18:02] 就排在前三名
[00:18:04] 所以從一個淨培莫作赤手空拳
[00:18:06] 到了有腳踏車之後呢
[00:18:07] 到這個排名名列前嘛
[00:18:10] 這個中間差距非常大
[00:18:11] 那當然這個給賈伯斯
[00:18:13] 一個很大的啟發
[00:18:14] 就是說人類有了工具之後
[00:18:17] 你的能力可以大幅被釋放
[00:18:19] 那這個當然不只是體力上的釋放
[00:18:21] 因為體力上釋放之後
[00:18:22] 包含就是說你接下來可以
[00:18:23] 從事更多這個工作
[00:18:25] 會回到就是說你的心智
[00:18:26] 也可以帶來更大的這個啟發
[00:18:28] 這件事情對賈伯斯當年看完這篇文章之後
[00:18:31] 留下非常深刻的印象
[00:18:33] 好那所以就是
[00:18:35] 那他當年1976年
[00:18:37] 因為今年也正好是蘋果電腦成立50週年
[00:18:41] 那當然現在電腦已經去掉
[00:18:42] 它叫蘋果
[00:18:43] 當年發家的時候
[00:18:44] 1976年4月1號成立的這家公司
[00:18:46] 當時是做這個蘋果2號
[00:18:49] 那以及1984年推出這個麥進塔的電腦
[00:18:52] 那對賈伯斯來講
[00:18:53] 就是說電腦這個工具
[00:18:55] 就如同是腳踏車
[00:18:57] 它是協助人類去釋放你的生產力
[00:19:01] 讓你的心智可以再到達下一個階段
[00:19:03] 所以那賈伯斯當年有一句話叫
[00:19:06] PC is a bicycle for our minds
[00:19:08] 就在那個年代裡頭的個人電腦
[00:19:11] 就相當於那個時代的腳踏車
[00:19:13] 讓人類的能力得到一個
[00:19:14] 大幅的一個提升
[00:19:16] 好那我們來看就是說
[00:19:18] 發明新的工具
[00:19:20] 讓這個生產力能夠持續提升
[00:19:23] 在賈伯斯的這個生涯裡面
[00:19:25] 其實它做了幾件事
[00:19:26] 那當我們看到這個圖的最左邊這邊
[00:19:29] 麥進塔電腦1984年
[00:19:31] 以及iPhone2007年
[00:19:34] 那這個兩個工具
[00:19:35] 其實都讓我們的生產力
[00:19:37] 得到很大幅的這個釋放
[00:19:39] 那接下來呢
[00:19:40] 那接下來我這邊列了兩個
[00:19:42] 有可能會是自駕車嗎
[00:19:44] 有可能會是機器人嗎
[00:19:46] 甚至有可能會是無人機嗎
[00:19:48] 那特別我們在AI時代裡面
[00:19:49] 自駕車 無人機 機器人
[00:19:51] 這些都是實體的工具
[00:19:53] 那當然除了實體工具之外
[00:19:55] 也有很多現在的包含像軟體
[00:19:57] Application 系統等等
[00:20:00] 這是在電腦或者說各種裝置裡面的
[00:20:03] 它其實也是新的時代的工具
[00:20:05] 也是新時代腳踏車
[00:20:06] 那當然我們在看就是
[00:20:08] 這個工具的演進的過程
[00:20:10] 我們人類在操作使用的過程裡面
[00:20:12] 讓我們的這個能力
[00:20:14] 可以不斷地增大
[00:20:16] 被負能可以去做更多這個事情
[00:20:19] 好那接下來我幫大家整理
[00:20:21] 就是我們過去這三十多年來
[00:20:23] 就是在多數可能
[00:20:24] 我預期可能我們今天
[00:20:26] 在收看這個直播的工作者
[00:20:27] 那當然有些是更年輕的
[00:20:29] 那我大概設定
[00:20:31] 可能在我這個年齡
[00:20:32] 可能或者稍微比我年輕一點的
[00:20:33] 都經歷過過去這三十多年來
[00:20:36] 整個Internet的發展
[00:20:37] 那當然Internet是承載很多
[00:20:39] 現在這些新的資訊工具的一個平臺
[00:20:41] 那這Internet的這個三波的發展
[00:20:44] 在這三十年當中
[00:20:46] 那第一階段我稱為它叫PC Internet
[00:20:48] 就當時我們其實上網
[00:20:49] 主要是用桌上型或者筆記電腦
[00:20:52] 那應該說電機這個PC Internet的
[00:20:57] 這個公司
[00:20:59] 是Netscape這家公司
[00:21:01] 做這個browser瀏覽器的
[00:21:03] 那因為有這個browser
[00:21:04] 讓更多人用電腦這個上網
[00:21:05] 雖然就是當時還在播接的年代
[00:21:08] 比較慢了
[00:21:09] 但至少讓上網這件事情
[00:21:10] 除了這些學術軍方跟專業機構之外
[00:21:13] 可以進入到普羅大眾的日常的工作跟生活當中
[00:21:16] 那以及說在這個PC Internet裡面的贏家呢
[00:21:21] 有三家
[00:21:21] 一家Cisco做路由器
[00:21:23] 它其實在這個網路裝置裡面
[00:21:25] 讓這個所謂的資訊
[00:21:27] 找到方向
[00:21:28] 並且可以傳遞到它要到達的目的地
[00:21:30] 那以及像雅虎這家公司做入口網站
[00:21:33] 它當時所定義的新聞
[00:21:35] 包含這油腔以及搜尋
[00:21:37] 也後來成為一個
[00:21:38] 時代的一個標配
[00:21:40] 那以及像亞馬遜這家公司做電商
[00:21:42] 那它也讓這個所謂過去
[00:21:44] 實體的這個零售為主的這樣一個
[00:21:47] 開始轉向線上去
[00:21:48] 好那
[00:21:50] 從
[00:21:51] 第二階段我們稱為叫所謂的Mobile Internet
[00:21:54] 就是所謂的移動網際網路
[00:21:55] 那移動網際網路的工具
[00:21:57] 所謂就是透過手機
[00:21:58] 那這也是2007年的Apple的iPhone
[00:22:00] 上市之後所帶來的一個風潮
[00:22:03] 那當然不是隻有iPhone
[00:22:05] 後來我們也有Android Phone
[00:22:06] 也有其他的這個不同形式的這個手機
[00:22:08] 那幫連線的也不只是
[00:22:09] Smartphone
[00:22:10] 也連線到像平板
[00:22:12] 像這個手錶等穿戴式裝置
[00:22:14] 那在這一波的這個
[00:22:16] 電機的公司當然就是Apple
[00:22:18] 那以及在這個階段的影家
[00:22:20] 我們看到有幾家
[00:22:21] 一個當然就是蘋果本身
[00:22:23] 因為藉由販售大量的iPhone
[00:22:25] 跟後來的這個iPad
[00:22:26] 以及它所推出的像Apple Store
[00:22:28] 這些服務
[00:22:29] 那讓它在這個Mobile Internet
[00:22:31] 這個時代裡面
[00:22:32] 從2000億的市值
[00:22:35] 在2011年的時候
[00:22:36] 一路成長到
[00:22:37] 超過這個三兆的這個市值
[00:22:40] 那以及像Google這家公司
[00:22:42] 透過原先的這個search
[00:22:43] 經過Mobile Internet的這個
[00:22:45] 更多人的使用放大之外
[00:22:48] 就是包含它的Android Phone
[00:22:49] 也幫Google爭取到一個
[00:22:51] 可以在一個重要的工具裡面的
[00:22:53] 一個作業系統
[00:22:54] 那以及我們看到像亞馬遜
[00:22:56] 在PC Internet的時代
[00:22:57] 進到Mobile Internet的時代
[00:22:59] 就透過這個網路下單
[00:23:00] 購買這個量
[00:23:01] 也是大幅的增加
[00:23:02] 像Facebook這家公司的這個
[00:23:04] 做社交平臺的這個部分
[00:23:06] 也是在Mobile Internet這個年代
[00:23:08] 得到一個非常大的一個成長的一個空間
[00:23:10] 那第三階段就是
[00:23:12] 我們現在正在經歷的這個是
[00:23:14] 我稱為它叫AI Internet
[00:23:15] 現在這個詞其實還沒有一個統稱
[00:23:18] 但是我先暫且稱它叫AI Internet
[00:23:21] 那這個AI Internet它所連線的工具就會更多了
[00:23:24] 那包含是像無人機自駕車機器人等等
[00:23:28] 那以及各種是說在這些實體裝置裡面
[00:23:31] 所看不到的這些軟體系統應用程式等等
[00:23:35] 那包含現在的熱門的AI代理等等
[00:23:37] 這些都是熱門的工具
[00:23:39] 那當然這一波的這個AI Internet造實的公司
[00:23:42] 要從2022年11月30日
[00:23:44] 推出ChairGPT的OpenAI這家公司開始
[00:23:46] 那目前看到就是說那贏家會是誰
[00:23:49] 當然現在還是一個非常早期的階段
[00:23:52] 但目前看到確定的
[00:23:53] 第一個贏家是NVIDIA
[00:23:55] 因為它所提供這個GPU的這個晶片
[00:23:58] 那是現在是做AI
[00:24:00] 一個是在資料的這個訓練跟推移上面
[00:24:03] 也是提供算力上面非常重要的一個
[00:24:05] 關鍵都繞不開它
[00:24:07] 那接下來可能贏家呢
[00:24:09] 我們看到說Google也可能會是其中一個贏家
[00:24:11] 因為Google現在把很多的這個產品
[00:24:13] 從它的Gemini
[00:24:14] 創串到各個這個不同相關的這個領域
[00:24:17] 以及我們現在看到Tesla
[00:24:18] 也可能會是其中一個贏家
[00:24:20] 因為包含從這個電動車到自駕車
[00:24:22] 自駕系統
[00:24:23] 那包含就是在這個
[00:24:25] 我們看到的現在機器的Optimus的部分
[00:24:28] 還有整個它的周邊相關這些企業
[00:24:32] 我們現在看到包含像XAI
[00:24:34] 那將來有可能就是Tesla
[00:24:36] 也會是在這個AI Internet裡面的一個可能的贏家
[00:24:40] 好那為了要找到就是說
[00:24:44] 到底什麼樣的工具在這個浪潮裡面
[00:24:48] 現在是具備好的一個位置
[00:24:51] 跟接下來有競爭到成為AI時代的腳踏車
[00:24:55] 這樣的一個重要性
[00:24:58] 那我們在4月份
[00:24:59] 我們製作了一個全球百搭AI
[00:25:01] 跟也特別在這個榜單之外
[00:25:04] 也精選了臺灣的AI20家公司
[00:25:06] 那全球百搭這裡面
[00:25:07] 我們從全世界的770家公司
[00:25:10] 作為初始的名單
[00:25:11] 那經過一路的篩選
[00:25:13] 那最終得到這100家公司
[00:25:15] 那這是我們連續第二年制作的這個名單
[00:25:18] 我不成為榜單
[00:25:19] 因為我們並沒有進行排名
[00:25:21] 我們做分類
[00:25:21] 但是並沒有排名
[00:25:22] 那非常建議大家就是說
[00:25:24] 能夠上網
[00:25:25] 或者說找到購買這本雜誌
[00:25:28] 來看更詳細的部分
[00:25:29] 因為我們今天時間比較有限
[00:25:30] 那我大概把這個
[00:25:31] 我們的幾個結論
[00:25:33] 在這邊跟大家做一個說明
[00:25:35] 那首先是說
[00:25:36] 我們在今年這個100家公司
[00:25:38] 我們會整理出有四個分類
[00:25:40] 一個部分是基礎設施
[00:25:41] 那包含說語言模型
[00:25:42] 包含說晶片
[00:25:43] 等等的這個
[00:25:44] 成為這個在所謂的AI的
[00:25:46] 這個基礎架構的部分
[00:25:47] 基礎設施的部分
[00:25:48] 那第二個是個人賦能的工具
[00:25:51] 那個人賦能工具
[00:25:52] 像一般大家常用
[00:25:53] 像Canva Notion
[00:25:54] 這些其實也都算在這裡面
[00:25:55] 以及有一部分
[00:25:57] 是在企業應用的這個環節上面
[00:25:59] 那像當然現在很多
[00:26:00] 像這個Anthropic Cloud
[00:26:03] 那像Gemini
[00:26:05] 像這個等等的這些語言模型
[00:26:08] 其實現在也
[00:26:08] 都有很多的應用工具
[00:26:10] 其實是算在這個裡頭
[00:26:11] 那另外還有一塊
[00:26:13] 我們稱為叫垂直產業領域
[00:26:14] 比如說現在的這個自駕車
[00:26:16] 無人機跟機器人
[00:26:17] 它本身應用的AI
[00:26:19] 那它現在自己本身發展的
[00:26:21] 一個垂直的一個領域
[00:26:22] 那這個垂直領域裡面
[00:26:23] 當然有一塊很特別的是說
[00:26:26] 我們也列了一個
[00:26:26] 所謂的國防AI的部分
[00:26:28] 那國防AI其實也是在現在
[00:26:30] 整個AI產業裡面發展
[00:26:32] 非常快速的
[00:26:33] 那特別像我們去年
[00:26:35] 有三家公司
[00:26:36] 包含像這個
[00:26:37] Polentier
[00:26:38] Anduria
[00:26:39] 跟這個Shield AI
[00:26:40] 那當然今年這三家公司
[00:26:41] 也還在這個名單上面
[00:26:43] 因為這
[00:26:43] 這三家公司相較於去年
[00:26:45] 都有非常大幅的這個成長
[00:26:47] 那當然國防AI
[00:26:48] 也會是在這個
[00:26:49] 垂直產業
[00:26:50] AI垂直產業領域裡面
[00:26:51] 接下來非常值得關注
[00:26:53] 應該不是接下來
[00:26:54] 目前其實已經是
[00:26:55] 非常值得關注的這個領域了
[00:26:57] 那當然就是說
[00:26:58] 這個名單跟去年相比
[00:27:00] 就是說從基礎的這個模型
[00:27:01] 到主權AI的落地跟應用
[00:27:03] 在我們今年的這個
[00:27:05] 整個百大的這個
[00:27:07] 全球的AI公司當中呢
[00:27:09] 跟去年一個很不一樣
[00:27:10] 是說去年我們名單
[00:27:12] 大概有70家是美國公司
[00:27:14] 美國以外是構成另外30家
[00:27:16] 那今年美國的佔比
[00:27:17] 大概就是50出頭
[00:27:19] 那有更多的是來自於
[00:27:21] 世界其他地區的國家
[00:27:23] 那這裡面有
[00:27:23] 像G42來自阿聯酋的
[00:27:26] 這個部分
[00:27:26] 以及有一些就是
[00:27:28] 更多是
[00:27:29] 有一些當地的落地應用
[00:27:31] 也就是說
[00:27:32] AI的發展
[00:27:33] 現在也慢慢的
[00:27:35] 從一家獨秀
[00:27:36] 到了開始要
[00:27:38] 百花齊放的這個前夕
[00:27:40] 那當然在技術的層面來看
[00:27:43] 美國還是
[00:27:43] 遙遙領先其他國家
[00:27:45] 但在很多應用的
[00:27:47] 這個場域裡面
[00:27:48] 其實牽涉到這個
[00:27:49] 使用行為
[00:27:50] 跟文化地域的這個差別
[00:27:52] 我們現在看到各地有更多的
[00:27:54] 這個
[00:27:54] 比如像這個日本有一家
[00:27:56] 做漫畫的這個AI的公司
[00:27:57] 叫Mantra
[00:27:58] 表現非常好
[00:27:59] 去年跟今年也都還在榜上
[00:28:00] 好
[00:28:02] 那
[00:28:02] 以及我們看到
[00:28:04] 邊緣計算
[00:28:04] 實體AI跟代理
[00:28:06] 也正在起飛
[00:28:07] 那這個是我們大概
[00:28:08] 今年的這個
[00:28:08] 百搭AI的
[00:28:09] 一個簡單的一個結論
[00:28:11] 好
[00:28:12] 那以及就是說
[00:28:13] 為了要爭取
[00:28:13] 誰在這個工具的制定
[00:28:16] 搶下一個世代
[00:28:17] 這個腳踏車裡面
[00:28:18] 佔有這個發言權
[00:28:19] 我們現在看到很多的巨頭
[00:28:21] 也在竭盡全力的在
[00:28:23] 投資
[00:28:24] 在這個基礎測試上面
[00:28:26] 所以我們看到有一個
[00:28:27] 6000多億美金的大撒幣
[00:28:29] 這是在今年
[00:28:30] 包含巨頭
[00:28:31] 為主
[00:28:32] 以及結合其他的這個
[00:28:34] 投資在這個AI產業裡面
[00:28:36] 現在
[00:28:36] 這裡面我們現在看到像
[00:28:38] 微軟
[00:28:38] 亞馬遜
[00:28:39] Google
[00:28:40] Meta
[00:28:40] 這些稱為所謂
[00:28:41] Hyper Scalers
[00:28:41] 的這些大型的雲端廠商
[00:28:43] 那都在AI資料中心裡面
[00:28:46] 現在在創紀錄的
[00:28:48] 擴大他們的投資
[00:28:49] 那整體加起來
[00:28:51] 今年超過6000億美金
[00:28:52] 將近7000億美金
[00:28:53] 這也是創了史上的紀錄
[00:28:54] 那比較矛盾的一點
[00:28:57] 但實際上也
[00:28:58] 也後面看起來合理
[00:29:00] 是說
[00:29:00] 在大幅增加投資的過程當中
[00:29:03] 也在大幅的裁員
[00:29:04] 那像去年
[00:29:05] 亞馬遜
[00:29:05] 從Q4到今年Q1
[00:29:07] 累計裁了
[00:29:08] 大概33000名員工
[00:29:10] 那包含就是說
[00:29:12] 像這個Oracle
[00:29:13] 在最近有一波裁員
[00:29:14] 27000人
[00:29:15] 也將近3萬人
[00:29:15] 所以這兩家公司
[00:29:16] 在大舉投資同時
[00:29:18] 也在大舉
[00:29:19] 在刪減人力
[00:29:20] 那當然
[00:29:21] 這裡面其實
[00:29:22] 我們所看到
[00:29:23] 就是說用算力
[00:29:24] 去換取人力
[00:29:26] 這件事情
[00:29:27] 其實在很多的
[00:29:28] 走在前頭的AI公司
[00:29:29] 正在發生
[00:29:30] 當然這個背後的原因
[00:29:31] 我們等一下會再有
[00:29:32] 詳細的解釋
[00:29:32] 以及呢
[00:29:34] 如果說大家
[00:29:34] 這麼積極在投資
[00:29:35] 對於那些
[00:29:37] 想要參與
[00:29:38] 竟然分一杯羹的
[00:29:39] 公司當然也
[00:29:40] 加快了腳步
[00:29:41] 所以我們也看到
[00:29:42] 就是說在今年
[00:29:42] 有三家公司
[00:29:44] 會有創紀錄的
[00:29:45] IPO的計劃
[00:29:46] 的金額
[00:29:47] 那一家是SpaceX
[00:29:48] 預計大概就是
[00:29:49] 6月份到8月份之間
[00:29:51] 以及OpenAI
[00:29:52] 跟Enthrope
[00:29:52] 這兩家
[00:29:52] 純AI的公司
[00:29:54] 現在都規劃
[00:29:54] 在今年要上市
[00:29:55] 從資本市場
[00:29:56] 裡面得到更多的資源
[00:29:57] 來加快它擴張
[00:29:59] 跟發展的這個腳步
[00:30:00] 好
[00:30:01] 那這件事情
[00:30:02] 對於
[00:30:03] 我們一般的
[00:30:04] 企業的經營者的
[00:30:05] 提醒會是什麼呢
[00:30:06] 那我想
[00:30:06] 這邊大概簡單
[00:30:07] 有三件事
[00:30:08] 就是現在對
[00:30:10] 很多企業來講
[00:30:10] 在初期的評估
[00:30:12] 匯入的階段
[00:30:13] 以及可能有一些
[00:30:14] 已經匯入到一部分
[00:30:15] 那現在要注意的是說
[00:30:17] 在整個這些專案
[00:30:19] 或者說要
[00:30:20] 這個幅度
[00:30:21] 要擴大的同時
[00:30:22] 究竟是我
[00:30:23] 應該要去
[00:30:24] 自建內部的團隊
[00:30:25] 來做這件事情
[00:30:26] 還是找外部的專家
[00:30:27] 來協助呢
[00:30:28] 那當然現在要
[00:30:30] 在臺灣要找到
[00:30:31] AI的專家
[00:30:31] 並沒有那麼容易
[00:30:33] 所以藉助外部的
[00:30:35] 這個專業的
[00:30:35] 不管是顧問
[00:30:36] 或者說執行團隊的服務
[00:30:37] 現在看起來
[00:30:39] 是要加快腳步的
[00:30:40] 一個非常重要的一環
[00:30:41] 那另外就是說
[00:30:43] 目前多數的
[00:30:44] 這個AI的服務提供
[00:30:45] 都還是來自雲端廠商
[00:30:46] 但對許多企業來講
[00:30:48] 它其實有很迫切的
[00:30:49] 在地端的這邊的需求
[00:30:51] 那當這個要等到
[00:30:52] 算力跟這個成本
[00:30:53] 有進一步的下降之後
[00:30:54] 地端這邊會
[00:30:55] 才有更好的機會
[00:30:57] 但是雲端跟地端
[00:30:58] 大概不會是一個二選一
[00:30:59] 將來應該
[00:31:00] 所謂的混合的
[00:31:01] 這個應該會是
[00:31:02] 多數企業在
[00:31:03] 目前這個階段
[00:31:03] 也要考量的
[00:31:04] 以及就是說
[00:31:06] 在AI的投資來講
[00:31:07] 究竟是資本支出
[00:31:09] 還是一個營運支出
[00:31:10] 也就是所謂
[00:31:10] 它是一個CAPEX
[00:31:11] 還是OPEX
[00:31:12] 那當然
[00:31:12] 對於很多的公司來講
[00:31:14] 就是說
[00:31:14] 如果你要自己投資
[00:31:15] 去新建這個Data Center
[00:31:17] 去買伺服器回來
[00:31:18] 去買GPU
[00:31:19] 這個其實是
[00:31:20] 可能沒有那麼大的
[00:31:22] 這個能力
[00:31:22] 跟資本去做這個事情
[00:31:24] 那前面既然提到說
[00:31:26] 有這麼多的雲端廠商
[00:31:27] 在加大力度投資
[00:31:28] 所以以目前來看
[00:31:30] 就對多數的企業
[00:31:31] 更划算一件事情
[00:31:32] 就是說
[00:31:33] 那我是用訂閱制的方式
[00:31:34] 去取得這個服務
[00:31:35] 所以那同時來講
[00:31:37] 就是說
[00:31:38] 如果這個
[00:31:39] AI的這個投入
[00:31:40] 是在
[00:31:41] 以所謂訂閱
[00:31:42] 用成本支出的概念來講
[00:31:44] 相對對企業的這個
[00:31:45] 整體的這個
[00:31:47] 資本的壓力
[00:31:49] 相對也會更小一些
[00:31:51] 所以CAPEX跟OPEX
[00:31:52] 我們現在看到
[00:31:52] 就是說
[00:31:53] 可能更多的企業
[00:31:54] 目前跟接下來
[00:31:55] 大概都會傾向
[00:31:56] 就是透過訂閱的方式
[00:31:59] 去取得這個服務
[00:31:59] 所以OPEX的方式
[00:32:01] 去處理他的這個資本
[00:32:03] 或者說在財務報表上
[00:32:05] 所面臨到這個壓力
[00:32:06] 好
[00:32:07] 那這邊簡單談一下
[00:32:09] 對工作的啟發
[00:32:10] 那第一個是說
[00:32:11] 我們現在看到
[00:32:12] 雖然很多的工作
[00:32:13] 都在使用這個AI工具
[00:32:14] 但是其實你也成為
[00:32:16] 這個AI提供服務
[00:32:17] 其中一環
[00:32:18] 因為很多的情況下
[00:32:19] 你去問這些問題
[00:32:20] 他會給你一些建議
[00:32:22] 說那你是不是
[00:32:22] 還問底下這些問題
[00:32:24] 所以你也在參與到
[00:32:25] 其中的這個生產問題
[00:32:27] 提供答案的
[00:32:28] 其中一部分
[00:32:29] 所以producer加consumer
[00:32:31] 變成presumer這件事情
[00:32:33] 其實在我們的
[00:32:33] AI工作的環節裡面
[00:32:35] 對工作者是一個非常重要
[00:32:36] 另外就是說
[00:32:37] 整個有很多
[00:32:38] 非城市背景的
[00:32:39] 這些城市素人
[00:32:40] 現在透過使用AI工具
[00:32:42] 特別是說
[00:32:42] 有些用得很有心得之後
[00:32:44] 變成所謂vibe coder
[00:32:45] 去解決
[00:32:46] 他日常裡面需要的
[00:32:47] 可能過去需要去找
[00:32:48] 這些IT部門來協助
[00:32:50] 製作表單
[00:32:50] 或者解決工作流程方面
[00:32:52] 現在是可以透過自行
[00:32:53] 去開發網頁app
[00:32:55] 或者表單來解決的
[00:32:56] 那這個vibe coding的
[00:32:58] 這個風潮是越演越烈
[00:32:59] 所以很多將來是變成
[00:33:01] 自助就解決問題
[00:33:02] 那這個情況之下就是說
[00:33:04] 好那原先要去來協助
[00:33:05] 解決問題的工程師
[00:33:07] 特別是IT部門
[00:33:07] 那接下去做什麼呢
[00:33:09] 那接下去
[00:33:10] 當我們所看到的是說
[00:33:12] 目前有一個叫
[00:33:13] 所謂FDE
[00:33:14] Forward Deploy Engineer
[00:33:15] 就是那工程師呢
[00:33:16] 那你就會跟這些行銷
[00:33:19] 跟業務人員
[00:33:20] 第一線到客戶的會議室
[00:33:22] 去坐下來談
[00:33:23] 理解他們的痛點
[00:33:24] 把這些問題
[00:33:25] 帶回來形成產品
[00:33:26] 而不是在過去說
[00:33:27] 你待在辦公室熒幕前
[00:33:28] 等著這些業務人員
[00:33:30] 把問題帶回來
[00:33:31] 所以現在必須到前線
